name,L1
train_0001.wav,JPN
train_0002.wav,FRE
train_0003.wav,SPA
train_0004.wav,SPA
train_0005.wav,HIN
train_0006.wav,ITA
train_0007.wav,ARA
train_0008.wav,KOR
train_0009.wav,HIN
train_0010.wav,TEL
train_0011.wav,KOR
train_0012.wav,GER
train_0013.wav,CHI
train_0014.wav,FRE
train_0015.wav,HIN
train_0016.wav,KOR
train_0017.wav,SPA
train_0018.wav,TEL
train_0019.wav,TUR
train_0020.wav,SPA
train_0021.wav,ARA
train_0022.wav,SPA
train_0023.wav,GER
train_0024.wav,HIN
train_0025.wav,TEL
train_0026.wav,CHI
train_0027.wav,GER
train_0028.wav,GER
train_0029.wav,JPN
train_0030.wav,GER
train_0031.wav,TUR
train_0032.wav,HIN
train_0033.wav,TUR
train_0034.wav,SPA
train_0035.wav,SPA
train_0036.wav,FRE
train_0037.wav,TEL
train_0038.wav,TUR
train_0039.wav,FRE
train_0040.wav,ITA
train_0041.wav,JPN
train_0042.wav,TUR
train_0043.wav,TUR
train_0044.wav,SPA
train_0045.wav,JPN
train_0046.wav,HIN
train_0047.wav,CHI
train_0048.wav,KOR
train_0049.wav,TUR
train_0050.wav,ITA
train_0051.wav,ITA
train_0052.wav,FRE
train_0053.wav,KOR
train_0054.wav,CHI
train_0055.wav,JPN
train_0056.wav,GER
train_0057.wav,TUR
train_0058.wav,TUR
train_0059.wav,JPN
train_0060.wav,ARA
train_0061.wav,JPN
train_0062.wav,ITA
train_0063.wav,GER
train_0064.wav,SPA
train_0065.wav,TEL
train_0066.wav,GER
train_0067.wav,GER
train_0068.wav,GER
train_0069.wav,ARA
train_0070.wav,FRE
train_0071.wav,JPN
train_0072.wav,TUR
train_0073.wav,TEL
train_0074.wav,ARA
train_0075.wav,CHI
train_0076.wav,CHI
train_0077.wav,TEL
train_0078.wav,TUR
train_0079.wav,ITA
train_0080.wav,HIN
train_0081.wav,ARA
train_0082.wav,FRE
train_0083.wav,FRE
train_0084.wav,ARA
train_0085.wav,FRE
train_0086.wav,TEL
train_0087.wav,KOR
train_0088.wav,SPA
train_0089.wav,CHI
train_0090.wav,CHI
train_0091.wav,ITA
train_0092.wav,KOR
train_0093.wav,GER
train_0094.wav,TUR
train_0095.wav,TEL
train_0096.wav,CHI
train_0097.wav,KOR
train_0098.wav,KOR
train_0099.wav,ARA
train_0100.wav,FRE
train_0101.wav,JPN
train_0102.wav,HIN
train_0103.wav,KOR
train_0104.wav,CHI
train_0105.wav,ARA
train_0106.wav,CHI
train_0107.wav,SPA
train_0108.wav,ARA
train_0109.wav,SPA
train_0110.wav,CHI
train_0111.wav,CHI
train_0112.wav,KOR
train_0113.wav,ITA
